id,name_ja,name_en,category,definition,why_it_works,example,keywords
1,美的ユーザビリティ効果,Aesthetic-Usability Effect,visual,美しくデザインされたプロダクトやインターフェイスが使用性が高いと感じられる現象,人は美しいものに対して好意的なバイアスを持ち、小さな問題を許容しやすくなる,Apple製品のシンプルで美しいデザインがユーザビリティの印象を向上,デザイン 美しい UI 使いやすさ 見た目
2,アンカー効果,Anchor Effect,pricing,最初に提示された情報（アンカー）に基づいて後続の情報を評価する傾向,不確かな状況で判断する際、最初に得た情報に頼る傾向がある,Amazonの元値表示と割引価格の比較表示,価格 比較 割引 元値 参照点
3,バナー・ブラインドネス,Banner Blindness,cognitive,ユーザーがWebサイト上の広告バナーを無意識的に無視する現象,過去の経験から広告らしい要素を自動的にフィルタリングする,重要なCTAボタンが広告と誤認されてクリックされない,広告 無視 注意 バナー 見落とし
4,認知負荷,Cognitive Load,cognitive,情報を処理し理解する際にかかる精神的なエネルギー量,処理能力には限界があり、過剰な情報は理解を妨げる,フォームの入力項目を減らして離脱率を下げる,情報量 処理 理解 シンプル 複雑
5,確証バイアス,Confirmation Bias,bias,自分の既存の信念に合致する情報を優先的に受け入れる傾向,認知的一貫性を保とうとする心理的欲求,ユーザーが期待する情報を先に表示して信頼を得る,信念 偏り 情報 受け入れ 判断
6,好奇心ギャップ,Curiosity Gap,conversion,情報の欠如を埋めるために興味を持ち行動を起こさせるUX手法,人は知識のギャップを埋めたいという強い欲求を持つ,ティーザー広告や「続きを読む」リンク,興味 クリック 続き 知りたい 誘導
7,決断疲れ,Decision Fatigue,cognitive,繰り返し決断を行うと合理的な選択が難しくなる現象,意思決定には精神的エネルギーが必要で枯渇する,選択肢を減らす、デフォルト値を設定する,選択 疲労 判断 シンプル オプション
8,おとり効果,Decoy Effect,pricing,おとりの選択肢を設けて他の選択肢を魅力的に見せる手法,比較対象があることで相対的な価値判断が変わる,3つの料金プランで中間プランを選ばせる,価格 プラン 比較 選択 誘導
9,デフォルト効果,Default Bias,conversion,提示されたデフォルトの値にとどまる傾向,変更のリスク回避と手間を省きたい心理,チェックボックスを事前選択状態にする,初期値 設定 変更 維持 選択
10,ドハティの閾値,Doherty Threshold,cognitive,0.4秒以上待たされると興味喪失のリスクが高まる閾値,人の注意持続時間には限界がある,ページ読み込み速度の最適化、スケルトンスクリーン,速度 待ち時間 レスポンス 0.4秒 パフォーマンス
11,共感ギャップ,Empathy Gap,bias,デザイナーがユーザーの感情やニーズに共感できないこと,自分の視点から離れることの難しさ,ユーザーテストやペルソナの活用,理解 ユーザー 視点 感情 ニーズ
12,授かり効果,Endowment Effect,pricing,所有しているものを過剰に評価する傾向,所有感が価値認識を高める,無料トライアルで所有感を与えてから有料化,所有 価値 トライアル 無料 評価
13,期待バイアス,Expectation Bias,bias,事前の期待や先入観が実際の体験に影響を与える現象,期待が知覚をフィルタリングする,ブランドイメージによる品質認識の向上,期待 先入観 体験 評価 認識
